concept_id,code,source,datatype
2355,159854,MCL/CIEL,N/A
2355,2355,local,N/A
2356,2356,local,Coded
2356,159853,MCL/CIEL,Coded
2357,2357,local,Coded
2358,2358,local,Coded
2359,2359,local,Coded
2360,2360,local,Coded
2361,2361,local,Coded
2362,2362,local,N/A
2363,76342,MCL/CIEL,N/A
2363,2363,local,N/A
2364,2364,local,N/A
2365,2365,local,N/A
2366,2366,local,Coded
2367,2367,local,Coded
2368,1572,MCL/CIEL,Coded
2368,2368,local,Coded
2369,2369,local,Numeric
2369,1504,MCL/CIEL,Numeric
2370,2370,local,Coded
2371,2371,local,Coded
2372,2372,local,Coded
2373,125620,MCL/CIEL,N/A
2373,2373,local,N/A
2373,13842006,"SNOMED CT",N/A
2373,159849,MCL/CIEL,N/A
2373,O90.8,ICD-10-WHO,N/A
2374,159848,MCL/CIEL,Coded
2374,2374,local,Coded
2375,2375,local,N/A
2376,2376,local,N/A
2376,147241,MCL/CIEL,N/A
2377,2377,local,Coded
2377,159847,MCL/CIEL,Coded
2378,159846,MCL/CIEL,N/A
2378,2378,local,N/A
2379,2379,local,N/A
2380,159844,MCL/CIEL,Coded
2380,2380,local,Coded
2381,2381,local,N/A
2382,2382,local,N/A
2383,2383,local,N/A
2384,159840,MCL/CIEL,Coded
2384,2384,local,Coded
2385,2385,local,N/A
2385,159839,MCL/CIEL,N/A
2386,2386,local,Coded
2387,2387,local,Coded
